utopia,Název,Sklo,Postup,Složení,Garnýž,Poznámka autora,Trvanlivost,,,
,Cobří Zázvor ,,"sirup, citron fresh, top soda, promíchat","4cl sirup, 1cl citron fresh, top soda, promíchat",,,,,,
,Cobra Cola,,"sirup, citron fresh, top soda, promíchat","4cl sirup, 1cl citron fresh, top soda, promíchat",,,,,,
,Piu  Piu Malina                     Piu Piu Rakytník,,"nejdřív soda, citron, pak sirupy","4cl Sirup
1cl citron fresh
top soda",,,,,, 
,Butterfly Effect,Vínovka,Přímo do skleničky,"1dc Euforie, 2cl Černý Bez Simple, 3 kapky Yuzu Bitters, Top Up 4cl LC Tonic ",Měsíček limety + Microgreens,,,,,
,Paraguay Limonade,Broušený long,přimo do skla,"1dcl maté cold brew, , 1cl citron, 4cl mediter sirup, 2dash pomeranč bitter, top up soda",Pomík kůra,,,,,
,Utopia Limonade,hladká whiskovka,přímo do skla,"2cl utopia ocet, 1cl midsommar sirup, top soda",microgreeens,,,,,
,Sober Society (N/A),longovka,"Vše, až na sodu do šejkru, dolít sodou","Red Bitter 3cl, Merunkový sirup 2cl, Grepový mošt 8cl, citron 2cl, soda na dolití","Plátky grepu, tymian",,,,,
,Wannabe Gin&Tonic (N/A),GT goblet,přímo do skla na led,"3cl Jenny in the Bottle , 1,5dl tonic double dutch","Jablko, bylinka",,,,,
,Volante spritz,vinovka ,přímo do skla na led,"4cl volante, 8cl spuntane, 4cl soda ",plátek grepu ,,,,,
,Corazone sunset ,Classy Long,Hard Shake,"4cl hruškový mošt, 2cl limeta fresh, 1,5cl bigalet cola, 6 kapek foamer, top landcraft tonic ",Zastříknout skleničku twistem pomerančové kůry + 3 kapky Angostura Bitters  na pěnu,,,,,
,,,,,,,,,,
,Glorian's Negroni,Hladká whiskovka,stir,"3cl tanqueray gin,  1cl cynar 1cl campari 2cl Gloria",Grep,,,,,
,Mezcal Negroni,Broušená whiskovka,Stir,"3cl mezcal san cosme, 3cl campari, 3cl cinzano rosso 1757",pomík kůra,,,,,
,Negroni ,Broušená whiskovka,Stir,"(9cl Prep) 3cl campari, 3cl cinzano rosso 1757, 3cl Tanqueray gin",pomík kůra,,,,,
,Negroni Sbagliato,Broušená whiskovka,Stir ve skle,"3cl Campari, 3cl Cinzano rosso 1757, 5cl prosecco",pomík kůra,,,,,
,Gonzoni,Broušená whiskovka,"Stir, top prosecco","(9cl Prep) 3cl Tanqueray gin3cl Campari, 3cl Cinzano rosso 1757, 5cl prosecco",pomík kůra,,,,,
,Boulevardier,Hladká whiskovka,Stir,"3cl campari, 3cl cinzano rosso 1757, 3cl Wild Turkey",pomík kůra,,,,,
,Kingston,Hladká whiskovka,,"3cl campari, 3cl cinzano rosso 1757, 3cl Angostura 7y",pomík kůra,,,,,
,Americano,Broušená whiskovka,Stir ve skle,"4cl campari, 4cl cinzano rosso 1757, Soda",plátek pomeranče,,,,,
,Negroni no. 22,broušená whiskovka,stir,"2cl Gin22 habanero mango, 3cl Cinzano 1957, 3cl Campari",plátek pomeranče,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,TAKE IT EASE,vinovka,"shake, double strain","3cl tanqueray sevilla, 2cl redberries cordial, top prosecco",lime zest,,,,,
,VIVA LA PALOMA,broušený long,build,"3cl don julio blanco, 1cl gloria, 1cl lime fresh, top grepova soda",sul krusta,,,,,
,ICE ME NICE,hubeny long,"shake, double strain","4cl J.W black label, 8cl rooibos čaj, citron fresh,",pomik zest,,,,,
,LOVELY LAV,modra whiskovka,stir,"5cl singleton, 1,5cl levandule med, 4dash orange bitters",pomik zest,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,GINSTAR,coupette,shake double strain,"3cl Cobraz Krajiny gin
4cl passionfruit mošt
2cl ibišek-vanilka sirup
1cl limeta fresh
0,5cl vegg white
Prosecco",3kapky Nahoru pipeta klitorie,,
,,,,SOBER GINSTAR,coupette,shake double strain,"3cl Jenny in the bottle
4cl passionfruit mošt
2cl ibišek-vanilka sirup
1cl limeta fresh
0,5cl vegg white, kolonne null šumivé",3kapky Nahoru pipeta klitorie,,
,,,,MONČÍTA,broušena whiskovka,stir,"Artspritz 3cl
Cointreau 2cl
Sirup z mostu passionfruit 2cl
2dash angostura bitters
Kokos orgeat 1cl
Limeta fresh 1cl",pomik zest,,
,,,,SOBER MONČÍTA,broušena whiskovka,stir,"Opius rubedo 3cl
Passionfruit sirup 2cl
Angostura bitters 2dash
Kokos orgeat 1cl
Limeta fresh 1cl",pomik zest,,
,,,,"Medúza
",hladká whiskovka,shake,klasika caipirinha,klitorie vedle jako senses,,
